"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"WANSPL","GRA.Below_GRA.Below_GRA_Other.WANSPL","GRA","Below_GRA","Below_GRA_Other","WANSPL","","","","","","",""
"WANTAL","GRA.Below_GRA.Below_GRA_Other.WANTAL","GRA","Below_GRA","Below_GRA_Other","WANTAL","","","","","","",""
"WANTRB","GRA.Below_GRA.Below_GRA_Other.WANTRB","GRA","Below_GRA","Below_GRA_Other","WANTRB","","","","","","",""
"WAP","GRA.Below_GRA.Below_GRA_Other.WAP","GRA","Below_GRA","Below_GRA_Other","WAP","","","","","","",""
"WAPATC","GRA.Below_GRA.Below_GRA_Other.WAPATC","GRA","Below_GRA","Below_GRA_Other","WAPATC","","","","","","",""
"WAPATD","GRA.Below_GRA.Below_GRA_Other.WAPATD","GRA","Below_GRA","Below_GRA_Other","WAPATD","","","","","","",""
"WAPATS","GRA.Below_GRA.Below_GRA_Other.WAPATS","GRA","Below_GRA","Below_GRA_Other","WAPATS","","","","","","",""
"WAPSRR","GRA.Below_GRA.Below_GRA_Other.WAPSRR","GRA","Below_GRA","Below_GRA_Other","WAPSRR","","","","","","",""
"WAPTAL","GRA.Below_GRA.Below_GRA_Other.WAPTAL","GRA","Below_GRA","Below_GRA_Other","WAPTAL","","","","","","",""
"WARMSR","GRA.Below_GRA.Below_GRA_Other.WARMSR","GRA","Below_GRA","Below_GRA_Other","WARMSR","","","","","","",""
"WASHOR","GRA.Below_GRA.Below_GRA_Other.WASHOR","GRA","Below_GRA","Below_GRA_Other","WASHOR","","","","","","",""
"WASHWF","GRA.Below_GRA.Below_GRA_Other.WASHWF","GRA","Below_GRA","Below_GRA_Other","WASHWF","","","","","","",""
"WE1","GRA.Below_GRA.Below_GRA_Other.WE1","GRA","Below_GRA","Below_GRA_Other","WE1","","","","","","",""
"WE2","GRA.Below_GRA.Below_GRA_Other.WE2","GRA","Below_GRA","Below_GRA_Other","WE2","","","","","","",""
"WEA","GRA.Below_GRA.Below_GRA_Other.WEA","GRA","Below_GRA","Below_GRA_Other","WEA","","","","","","",""
"WEH","GRA.Below_GRA.Below_GRA_Other.WEH","GRA","Below_GRA","Below_GRA_Other","WEH","","","","","","",""
"WEJ","GRA.Below_GRA.Below_GRA_Other.WEJ","GRA","Below_GRA","Below_GRA_Other","WEJ","","","","","","",""
"WEL","GRA.Below_GRA.Below_GRA_Other.WEL","GRA","Below_GRA","Below_GRA_Other","WEL","","","","","","",""
"WELFBY","GRA.Below_GRA.Below_GRA_Other.WELFBY","GRA","Below_GRA","Below_GRA_Other","WELFBY","","","","","","",""
"WELH","GRA.Below_GRA.Below_GRA_Other.WELH","GRA","Below_GRA","Below_GRA_Other","WELH","","","","","","",""
