SiteID,Node
IR3,IR3A0
IR3,IR3B0
IR4,IR4A0
IR4,IR4B0
IR5,IR5A0
IR5,IR5B0
JCJ,Below_GRA_Obs
JD1,Below_GRA_Obs
JDJ,Below_GRA_Obs
JDM,Below_GRA_Obs
JO1,Below_GRA_Obs
JO2,Below_GRA_Obs
JOC,JOCA0
JOC,JOCB0
JOH,Below_GRA_Obs
JPT,Below_GRA_Obs
JUL,JUL
KCB,Below_GRA_Obs
KEN,KENA0
KEN,KENB0
KEN,KEN
KHS,KHSA0
KHS,KHSB0
KLR,Below_GRA_Obs
KRS,KRS
LAP,LAPA0
LAP,LAPB0
LB8,LB8A0
LB8,LB8B0
LBC,Below_GRA_Obs
LBS,LBSA0
LBS,LBSB0
LBT,Below_GRA_Obs
LC1,LC1
LC2,LC2
LCL,LCLA0
LCL,LCLB0
LD1,Below_GRA_Obs
LD2,Below_GRA_Obs
LD3,Below_GRA_Obs
LD4,Below_GRA_Obs
LEA,Below_GRA_Obs
LEL,Below_GRA_Obs
LFF,Below_GRA_Obs
LHC,Below_GRA_Obs
LKR,Below_GRA_Obs
LLC,Below_GRA_Obs
LLR,LLR
LLR,LLRA0
LLR,LLRB0
LLS,LLSA0
LLS,LLSB0
LMA,Below_GRA_Obs
LMC,Below_GRA_Obs
LMJ,Below_GRA_Obs
LMR,Below_GRA_Obs
LMT,Below_GRA_Obs
LNF,Below_GRA_Obs
LNR,Below_GRA_Obs
LOP,Below_GRA_Obs
LOR,Below_GRA_Obs
LRL,LRL
LRU,LRU
LRW,LRW
LRW,LRWA0
LRW,LRWB0
LTP,Below_GRA_Obs
LTR,LTR
LTR,LTRA0
LTR,LTRB0
LWC,LWCA0
LWC,LWCB0
LWD,Below_GRA_Obs
LWE,Below_GRA_Obs
LWL,Below_GRA_Obs
LWN,Below_GRA_Obs
M3R,Below_GRA_Obs
MAD,Below_GRA_Obs
MC1,Below_GRA_Obs
MC2,Below_GRA_Obs
MCD,Below_GRA_Obs
MCI,Below_GRA_Obs
MCJ,Below_GRA_Obs
MCL,Below_GRA_Obs
MCX,Below_GRA_Obs
MDR,Below_GRA_Obs
MEG,Below_GRA_Obs
MHB,Below_GRA_Obs
MHP,Below_GRA_Obs
MIS,MISA0
MIS,MISB0
MJ1,Below_GRA_Obs
MRB,Below_GRA_Obs
MRC,Below_GRA_Obs
MRT,Below_GRA_Obs
MRW,Below_GRA_Obs
MSB,Below_GRA_Obs
MSC,Below_GRA_Obs
MSH,Below_GRA_Obs
MTD,Below_GRA_Obs
MTR,MTRA0
MTR,MTRB0
MVF,Below_GRA_Obs
MVP,Below_GRA_Obs
MWC,Below_GRA_Obs
MWE,Below_GRA_Obs
MWF,Below_GRA_Obs
NAL,Below_GRA_Obs
NAS,Below_GRA_Obs
NAU,Below_GRA_Obs
NBA,Below_GRA_Obs
NES,Below_GRA_Obs
NFS,NFSA0
NFS,NFSB0
NFT,Below_GRA_Obs
NFW,Below_GRA_Obs
NMC,Below_GRA_Obs
NSB,Below_GRA_Obs
NSM,Below_GRA_Obs
NSS,Below_GRA_Obs
OBF,Below_GRA_Obs
OKC,Below_GRA_Obs
OKI,Below_GRA_Obs
OKL,Below_GRA_Obs
OKP,Below_GRA_Obs
OKS,Below_GRA_Obs
OKV,Below_GRA_Obs
OKW,Below_GRA_Obs
OMF,Below_GRA_Obs
OMK,Below_GRA_Obs
OMP,Below_GRA_Obs
ONC,Below_GRA_Obs
ORB,Below_GRA_Obs
PAT,Below_GRA_Obs
PCA,PCAA0
PCA,PCAB0
PCM,PCMA0
PCM,PCMB0
PD1,Below_GRA_Obs
PD2,Below_GRA_Obs
PD7,Below_GRA_Obs
PEL,Below_GRA_Obs
PES,Below_GRA_Obs
PEU,Below_GRA_Obs
PRA,Below_GRA_Obs
PRH,Below_GRA_Obs
PRJ,Below_GRA_Obs
PRO,Below_GRA_Obs
PRV,Below_GRA_Obs
RBF,Below_GRA_Obs
RCJ,Below_GRA_Obs
RCL,Below_GRA_Obs
RCS,Below_GRA_Obs
RCT,Below_GRA_Obs
RCX,Below_GRA_Obs
RFL,AB_USI
RFP,Below_GRA_Obs
RIA,Below_GRA_Obs
