"ParentNode","ChildNode","SiteType","RKM","RKMTotal","nodeOrder"
"MTRB0","MTRA0","INT","522.100.019",641,5
"LTRA0","MTRB0","INT","522.100.019",641,4
"NFSB0","NFSA0","INT","522.303.381.001",1207,3
"GRA","NFSB0","INT","522.303.381.001",1207,2
"USI","PAHSIW","MRR","522.303.489.002",1316,4
"MTRA0","PATAHC","MRR","522.100.019",641,6
"PCAB0","PCAA0","INT","522.303.338.005",1168,3
"GRA","PCAB0","INT","522.303.338.005",1168,2
"PCMB0","PCMA0","INT","522.224.024.028.001",799,4
"JUL","PCMB0","INT","522.224.024.028.001",799,3
"GRA","PENAWC","MRR","522.145",667,2
"GRA","RAPH","MRR","522.303.140.007.012",984,2
"SC2","REDR","MRR","522.224.120.101",967,4
"USI","SALEFT","MRR","522.303.552.029",1406,4
"GRA","SALMON_OBS","MRR","522.303.552",1377,2
"STR_A0","SALSFW","MRR","522.303.215.118",1158,6
"STL_A0","SAWT","MRR","522.303.617",1442,6
"GRA","SC1","INT","522.224.120.001",867,2
"SC1","SC2","INT","522.224.120.002",868,3
"GRA","SFG","INT","522.303.215.030",1070,2
"GRA","SNAKE_OBS","MRR","522.271.232",1025,2
"STL_B0","STL_A0","INT","522.303.617.000",1442,5
"USI","STL_B0","INT","522.303.617.000",1442,4
"STR_B0","STR_A0","INT","522.303.215.115",1155,5
"KRS","STR_B0","INT","522.303.215.115",1155,4
"GRA","SW1","INT","522.224.120.037.005",908,2
"SW1","SW2","INT","522.224.120.037.013",916,3
"SWTB0","SWTA0","INT","522.224.019.010.001",776,5
"LAPA0","SWTB0","INT","522.224.019.010.001",776,4
"TAYB0","TAYA0","INT","522.303.319.029.011",1184,3
"GRA","TAYB0","INT","522.303.319.029.011",1184,2
"GRA","TENMC2","MRR","522.237",759,2
"GRA","UGR","INT","522.271.155",948,2
"UGSB0","UGSA0","INT","522.271.291",1084,4
"UGR","UGSB0","INT","522.271.291",1084,3
"GRA","USE","INT","522.303.437",1262,2
"USE","USI","INT","522.303.460",1285,3
"UTRB0","UTRA0","INT","522.100.053",675,7
"MTRA0","UTRB0","INT","522.100.053",675,6
"VC2B0","VC2A0","INT","522.303.609.001",1435,5
"USI","VC2B0","INT","522.303.609.001",1435,4
"WEBB0","WEBA0","INT","522.224.019.010.006.001",782,7
"SWTA0","WEBB0","INT","522.224.019.010.006.001",782,6
"WENB0","WENA0","INT","522.271.073.001",867,3
"GRA","WENB0","INT","522.271.073.001",867,2
"WPCA0","WIMPYC","MRR","522.303.416.020",1261,6
"WPCB0","WPCA0","INT","522.303.416.020.001",1262,5
"LLRA0","WPCB0","INT","522.303.416.020.001",1262,4
"GRA","WR1","INT","522.271.131.014",938,2
"WR2B0","WR2A0","INT","522.271.131.032",956,4
"WR1","WR2B0","INT","522.271.131.032",956,3
"YFKB0","YFKA0","INT","522.303.591.003",1419,5
"USI","YFKB0","INT","522.303.591.003",1419,4
"YPPB0","YPPA0","INT","522.303.215.060.042",1142,6
"ESSA0","YPPB0","INT","522.303.215.060.042",1142,5
"ZENB0","ZENA0","INT","522.303.215.059.003",1102,4
"SFG","ZENB0","INT","522.303.215.059.003",1102,3
